[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5902 | UID=C7Waxo1ytj1bPHyqzj | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:9502 | UID=CLA9Rt1Km3TuJ3z4Pa | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:9917 | UID=CRNShh2QmWluNByPMg | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1583 | UID=C8sGoh3lxlmv7vwuDa | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1309 | UID=Cp98vY2Yu5rEoyilW5 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5087 | UID=CDxPut4a4UBFH7pUkb | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1218 | UID=ClUxX244ACCzZLei68 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1174 | UID=CiiVPt3ZcYuGazDzi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8087 | UID=CHQmNX2ljDo8oM2Xm7 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:32771 | UID=Cf0B3s4NnA8OA1N6ic | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3945 | UID=CB57X01SPbm72KHBZk | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2111 | UID=Cz55QS3QT33oXmPRz2 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5989 | UID=C7ZChas7RoIwYlqi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8254 | UID=CpEETl3BcXhtFPenKl | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1999 | UID=Co9WEkeHt6GD5Jztc | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5822 | UID=CKvfSp45fAMZ7QaCyi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:3889 | UID=C9IImLGXKrjiuOCT7 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:19780 | UID=COEpNm5TnzDDqphT4 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2920 | UID=CJIF3y9l1NL2ZfZK | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:52848 | UID=CBdvapClSfs0bLyOe | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:49167 | UID=CU1npb2nq1WL2dmwo5 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:6692 | UID=Ckft0z2PECEtBg0rcl | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8899 | UID=C1Ib5E1C9BkwY6iZOi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5850 | UID=C7t8LW3MoZ1rPlolNj | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:30 | UID=C3gB004nEQgppKU2Wa | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:10628 | UID=C3FWCzALhwDkwZBHj | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:32780 | UID=CtR4JA1x2NPISvNxV1 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:8181 | UID=CsTqw92GMjwgNNUVy | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:48080 | UID=CeowBLCgw2pJ5zPCi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1718 | UID=CvTLvv4UFCfahJhV4k | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5825 | UID=CsfsUF2BOAq6BG6iCe | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:5440 | UID=C2E5ye3qqLI2cDJfQk | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:10004 | UID=Cswy5TThcS9ufWXGb | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:54328 | UID=CJcL3hNaD0GFtzTef | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:1186 | UID=C1zCXQ3tErr6pw3s9j | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:10616 | UID=CMXEGa32cu5Rwz7xCe | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:6001 | UID=CxP4d44ZFJoVrwV5bi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:55] ML | 192.168.56.10:39141 -> 10.10.0.2:2161 | UID=CCW3Kd24H2bIQPacx7 | ATTACK=portscan | CONF=0.9971
