2026-04-17T15:56:56.733128+01:00 2026-04-17 14: 56:56 | INFO | qsh.server | event=request_received session='S0003' client='10.10.0.1' action='quit'
2026-04-17T15:56:56.734405+01:00 2026-04-17 14: 56:56 | INFO | qsh.server | event=session_close session='S0003' client='10.10.0.1' reason='client_quit'
2026-04-17T15:57:00.184158+01:00 2026-04-17 14: 57:00 | INFO | qsh.server | event=session_open session='S0004' client='10.10.0.1' addr=('10.10.0.1', 56610)
2026-04-17T15:57:00.368709+01:00 2026-04-17 14: 57:00 | INFO | qsh.qkd | event=server_qkd_client_report eve_mode='none' eve_intercepts=0 eve_observed_rate=0.0
2026-04-17T15:57:00.369253+01:00 2026-04-17 14: 57:00 | INFO | qsh.qkd | event=server_qkd_report qber=0.0 sifted_bits=240 sifted_rate=0.4688
2026-04-17T15:57:00.369253+01:00 2026-04-17 14: 57:00 | INFO | qsh.server | event=secure_channel_active session='S0004' client='10.10.0.1'
2026-04-17T15:57:00.373967+01:00 2026-04-17 14: 57:00 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='auth'
2026-04-17T15:57:00.486442+01:00 2026-04-17 14: 57:00 | INFO | qsh.server | event=auth_success session='S0004' client='10.10.0.1'
2026-04-17T15:57:04.339103+01:00 2026-04-17 14: 57:04 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='shell'
2026-04-17T15:57:04.339103+01:00 2026-04-17 14: 57:04 | INFO | qsh.server | event=command_execute session='S0004' client='10.10.0.1' command='pwd'
2026-04-17T15:59:37.049449+01:00 2026-04-17 14: 59:37 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='shell'
2026-04-17T15:59:37.049449+01:00 2026-04-17 14: 59:37 | INFO | qsh.server | event=command_execute session='S0004' client='10.10.0.1' command='ip addr'
2026-04-17T15:59:57.131873+01:00 2026-04-17 14: 59:57 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='shell'
2026-04-17T15:59:57.131873+01:00 2026-04-17 14: 59:57 | INFO | qsh.server | event=command_execute session='S0004' client='10.10.0.1' command='dir'
2026-04-17T16:00:25.724517+01:00 2026-04-17 15: 00:25 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='download'
2026-04-17T16:00:25.724517+01:00 2026-04-17 15: 00:25 | INFO | qsh.server | event=file_action session='S0004' client='10.10.0.1' action='download' remote_path='/home/victim/qsh/app/testme.txt'
2026-04-17T16:00:53.913764+01:00 2026-04-17 15: 00:53 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='shell'
2026-04-17T16:00:53.913764+01:00 2026-04-17 15: 00:53 | INFO | qsh.server | event=command_execute session='S0004' client='10.10.0.1' command='whoami'
2026-04-17T16:01:00.191879+01:00 2026-04-17 15: 01:00 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='shell'
2026-04-17T16:01:00.192920+01:00 2026-04-17 15: 01:00 | INFO | qsh.server | event=command_execute session='S0004' client='10.10.0.1' command='exit'
2026-04-17T16:01:03.141935+01:00 2026-04-17 15: 01:03 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='shell'
2026-04-17T16:01:03.141935+01:00 2026-04-17 15: 01:03 | INFO | qsh.server | event=command_execute session='S0004' client='10.10.0.1' command='whoami'
2026-04-17T16:01:16.704083+01:00 2026-04-17 15: 01:16 | INFO | qsh.server | event=request_received session='S0004' client='10.10.0.1' action='shell'
2026-04-17T16:01:16.704272+01:00 2026-04-17 15: 01:16 | INFO | qsh.server | event=command_execute session='S0004' client='10.10.0.1' command='ping 8.8.8.8'
2026-04-17T16:01:25.779340+01:00 2026-04-17 15: 01:25 | INFO | qsh.server | event=session_open session='S0005' client='10.10.0.1' addr=('10.10.0.1', 40648)
2026-04-17T16:01:25.956891+01:00 2026-04-17 15: 01:25 | INFO | qsh.qkd | event=server_qkd_client_report eve_mode='none' eve_intercepts=0 eve_observed_rate=0.0
2026-04-17T16:01:25.957877+01:00 2026-04-17 15: 01:25 | INFO | qsh.qkd | event=server_qkd_report qber=0.0 sifted_bits=252 sifted_rate=0.4922
