[2026-04-12 18:15:31] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:15:31] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:15:31] SURICATA | fe80:0000:0000:0000:020c:29ff:fec0:9ab8:None -> ff02:0000:0000:0000:0000:0000:0000:0002:None | PROTO=IPv6-ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:15:31] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:15:31] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:15:31] SURICATA | fe80:0000:0000:0000:020c:29ff:fee2:29b6:None -> ff02:0000:0000:0000:0000:0000:0000:0002:None | PROTO=IPv6-ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:15:47] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:15:53] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:16:52] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:16:52] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | fe80:0000:0000:0000:020c:29ff:fec0:9ab8:None -> ff02:0000:0000:0000:0000:0000:0000:0002:None | PROTO=IPv6-ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | fe80:0000:0000:0000:020c:29ff:fee2:29b6:None -> ff02:0000:0000:0000:0000:0000:0000:0002:None | PROTO=IPv6-ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:32] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:48] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:28:48] SURICATA | 192.168.56.10:None -> 10.10.0.2:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:29:19] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:29:19] SURICATA | 10.10.0.2:None -> 192.168.56.10:None | PROTO=ICMP | ALERT=ICMP Ping Detected | SEVERITY=3
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:199 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:21 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:9944 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:9110 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3283 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1075 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:49157 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1063 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8193 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:1131 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:82 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:26 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3918 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:49153 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:125 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5907 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3800 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:34571 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:49159 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:3128 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:7435 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5061 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:90 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:12174 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:5555 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
[2026-04-12 18:29:24] SURICATA | 192.168.56.10:50977 -> 10.10.0.2:8181 | PROTO=TCP | ALERT=POSSBL PORT SCAN (NMAP -sS) | SEVERITY=2
